full_name,default_branch,forks,watchers,topics,created_at
sagiebenaim__DistanceGAN,master,42,194,"['computer-vision', 'computer-vision-ai', 'deep-learning', 'gan', 'image-generation', 'image-manipulation', 'pytorch', 'unsupervised-learning']",2017-06-02T07:34:51Z
bb-in-hoodie__MNIST-invert-color,master,0,16,"['cnn', 'convolutional-neural-networks', 'cyclegan', 'gan', 'image-generation', 'mnist', 'python', 'pytorch']",2017-05-30T03:56:58Z
yxtay__char-rnn-text-generation,master,22,62,"['chainer', 'character-embeddings', 'deep-learning', 'keras', 'long-short-term-memory', 'mxnet', 'neural-network', 'pytorch', 'recurrent-neural-network', 'tensorflow', 'text-generation']",2017-07-02T03:40:40Z
aleju__gan-error-avoidance,master,3,23,"['artifacts', 'celeba', 'deep-learning', 'gan', 'generative-adversarial-network', 'pytorch', 'weight-normalization']",2017-07-03T16:55:45Z
j-min__generative_models,master,1,3,"['generative-adversarial-network', 'generative-models', 'pytorch', 'variational-autoencoders']",2017-06-21T13:40:03Z
suragnair__seqGAN,master,150,626,"['deep-learning', 'gan', 'generative-adversarial-network', 'generative-model', 'natural-language-processing', 'natural-language-understanding', 'nlp', 'policy-gradient', 'seqgan']",2017-07-14T19:10:58Z
znxlwm__pytorch-MNIST-CelebA-GAN-DCGAN,master,145,488,"['celeba', 'dcgan', 'gan', 'generative-adversarial-network', 'mnist', 'pytorch']",2017-07-18T03:07:16Z
OctoberChang__MMD-GAN,master,54,187,"['generative-adversarial-network', 'maximum-mean-discrepancy', 'mmd-gan', 'pytorch']",2017-07-06T14:04:34Z
ldeecke__vae-torch,master,12,48,"['generative-model', 'pytorch', 'variational-autoencoder']",2017-07-15T17:01:16Z
znxlwm__pytorch-MNIST-CelebA-cGAN-cDCGAN,master,125,440,"['cdcgan', 'celeba', 'cgan', 'conditional-dcgan', 'conditional-gan', 'gender', 'generative-adversarial-network', 'mnist', 'pytorch']",2017-07-24T06:35:40Z
aitorzip__PyTorch-SRGAN,master,93,354,"['cnn', 'computer-vision', 'convolutional-neural-networks', 'deep-learning', 'gan', 'generative-adversarial-network', 'pytorch', 'pytorch-gan', 'srgan', 'super-resolution']",2017-07-22T22:45:25Z
yjchoe__alphaGAN,master,6,15,"['deep-learning', 'generative-adversarial-networks', 'pytorch', 'tensorboard', 'variational-autoencoders']",2017-07-27T10:57:21Z
0lut__Deep-Learning-Examples,master,1,2,"['cifar10', 'computer-vision', 'deep-learning', 'gan', 'generative-adversarial-networks', 'mnist', 'pytorch']",2017-08-04T16:29:48Z
corenel__pytorch-adda,master,138,454,"['deep-learning', 'domain-adaptation', 'generative-adversarial-network', 'pytorch']",2017-08-17T07:43:20Z
znxlwm__pytorch-pix2pix,master,29,112,"['cgan', 'conditional-gan', 'gan', 'generative-adversarial-networks', 'generative-model', 'image-translation', 'pix2pix', 'pytorch', 'unet']",2017-08-10T04:18:31Z
togheppi__DCGAN,master,20,49,"['celeba', 'dcgan', 'gan', 'generative-adversarial-network', 'mnist', 'pytorch']",2017-08-16T08:22:59Z
togheppi__vanilla_GAN,master,4,17,"['1d-gaussian', 'gan', 'generative-adversarial-network', 'mnist', 'pytorch', 'vanilla-gan']",2017-08-11T07:59:50Z
corenel__GAN-Zoo,master,5,8,"['deep-learning', 'generative-adversarial-network', 'pytorch']",2017-08-09T14:53:30Z
polaroidz__chinese_generation,master,1,7,"['chinese', 'deep-learning', 'generative-model', 'ocr', 'pytorch', 'variational-autoencoder']",2017-08-16T14:36:45Z
kefirski__mnist_cdvae,master,0,1,"['deep-learning', 'generative-model', 'machine-learning', 'mnist', 'python', 'pytorch', 'vae']",2017-08-18T10:04:20Z
znxlwm__pytorch-generative-model-collections,master,545,2551,"['acgan', 'began', 'cgan', 'collection', 'conditional-gan', 'dragan', 'ebgan', 'fashion-mnist', 'gan', 'generative-adversarial-network', 'infogan', 'lsgan', 'mnist', 'package', 'pytorch', 'wgan', 'wgan-gp']",2017-08-31T03:58:25Z
yifanjiang19__Pedestrian-Synthesis-GAN,master,27,85,"['computer-vision', 'data-augmentation', 'deep-learning', 'generative-adversarial-networks', 'pytorch']",2017-08-29T03:33:22Z
togheppi__CycleGAN,master,13,70,"['apple2', 'cyclegan', 'gan', 'generative-adversarial-networks', 'horse2zebra', 'image-translation', 'pytorch']",2017-09-05T07:26:38Z
togheppi__cDCGAN,master,19,61,"['cdcgan', 'celeba', 'conditional-gan', 'dcgan', 'gan', 'generative-adversarial-networks', 'mnist', 'pytorch']",2017-08-23T04:58:39Z
corenel__pytorch-arda,master,13,51,"['deep-learning', 'domain-adaptation', 'generative-adversarial-network', 'pytorch']",2017-08-22T11:37:13Z
znxlwm__pytorch-CycleGAN,master,8,40,"['cyclegan', 'gan', 'generative-adversarial-network', 'generative-model', 'image-translation', 'pytorch']",2017-08-24T06:13:27Z
kefirski__bdir_vae,master,3,53,"['machine-learning', 'mnist', 'mnist-generation', 'neural-network', 'python', 'pytorch', 'vae']",2017-09-17T11:29:15Z
wohlert__semi-supervised-pytorch,master,124,697,"['generative-models', 'pytorch', 'semi-supervised-learning']",2017-09-28T09:41:18Z
GBLin5566__toward-controlled-generation-of-text-pytorch,master,23,104,"['deep-learning', 'natural-language-generation', 'pytorch']",2017-09-29T02:56:07Z
floydhub__word-language-model,master,8,34,"['deep-learning', 'floydhub', 'language-model', 'pytorch', 'recurrent-neural-networks', 'rnn', 'text-generation']",2017-10-05T12:54:01Z
Burton2000__pytorch_rnn_sequence_generation,master,0,9,"['gru', 'lstm', 'pytorch', 'rnn', 'time-series']",2017-09-27T14:28:10Z
Khrylx__PyTorch-RL,master,184,1016,"['a2c', 'deep-reinforcement-learning', 'fisher-vectors', 'generative-adversarial-network', 'policy-gradient', 'ppo', 'proximal-policy-optimization', 'pytorch', 'pytorch-rl', 'reinforcement-learning', 'trpo']",2017-10-17T15:50:29Z
kuc2477__pytorch-deep-generative-replay,master,25,144,[],2017-10-24T14:06:56Z
eveningglow__multitask-CycleGAN,master,24,91,"['computer-vision', 'cyclegan', 'deep-learning', 'gan', 'generative-adversarial-network', 'image-translation', 'pytorch']",2017-10-17T04:42:33Z
vaibhavnaagar__pixelDA_GAN,master,18,66,"['classification', 'cnn', 'computer-vision', 'convolutional-neural-networks', 'domain-adaptation', 'gan', 'generative-adversarial-network', 'machine-learning', 'pytorch', 'unsupervised-learning']",2017-10-23T10:34:40Z
osm3000__text_generation_rnn_tutorial,master,0,0,[],2017-10-24T16:14:56Z
aelnouby__Text-to-Image-Synthesis,master,88,386,"['gans', 'image-generation', 'pytorch', 'text-to-image', 'zero-shot-learning']",2017-10-27T00:34:31Z
eelxpeng__UnsupervisedDeepLearning-Pytorch,master,26,86,"['autoencoder', 'deep-learning', 'denoising-autoencoders', 'generative-adversarial-network', 'pytorch', 'unsupervised', 'variational-autoencoders']",2017-11-02T06:58:46Z
xinario__catgan_pytorch,master,18,57,"['catgan', 'dcgan', 'gan', 'generative-adversarial-network', 'pytorch', 'semi-supervised-learning', 'unsupervised-learning']",2017-11-03T18:36:17Z
RahulBhalley__progressive-growing-of-gans.pytorch,master,6,50,"['discriminator', 'generative-adversarial-network', 'generator', 'optimal-transport', 'progressive-gan', 'pytorch', 'tensorboard', 'wasserstein-gan', 'wgan']",2017-10-30T02:07:18Z
0lut__InzvaGanStarter,master,0,3,"['deep-learning', 'generative-adversarial-networks', 'pytorch']",2017-11-01T18:32:43Z
junyanz__BicycleGAN,master,255,1448,"['deep-learning', 'gans', 'generative-adversarial-network', 'pix2pix', 'pytorch']",2017-11-14T04:12:01Z
nashory__pggan-pytorch,master,137,813,"['celeba-hq-dataset', 'gan', 'generative-adversarial-network', 'progressive-gan', 'progressively-growing-gan', 'pytorch', 'tensorboard']",2017-11-13T05:01:40Z
Sleepychord__ImprovedGAN-pytorch,master,78,297,"['deep-learning', 'generative-adversarial-network', 'semi-supervised-learning']",2017-11-23T10:15:35Z
last-one__DCGAN-Pytorch,master,11,24,"['celeba', 'dcgan', 'gan', 'generative-adversarial-network', 'mnist', 'pytorch']",2017-11-14T13:26:18Z
proceduralia__tgan-pytorch,master,4,12,"['deep-learning', 'generative-adversarial-network', 'generative-model', 'python', 'pytorch', 'video-generator']",2017-11-22T18:55:27Z
zijundeng__SRGAN,master,0,11,"['generative-adversarial-network', 'pytorch', 'srgan', 'super-resolution']",2017-11-10T02:31:12Z
eriche2016__3dgan_shape_generation.pytorch,master,0,0,[],2017-11-21T14:27:05Z
NVIDIA__pix2pixHD,master,1363,6459,"['computer-graphics', 'computer-vision', 'deep-learning', 'deep-neural-networks', 'gan', 'generative-adversarial-network', 'image-to-image-translation', 'pix2pix', 'pytorch']",2017-12-01T19:19:14Z
yunjey__stargan,master,973,5179,"['cvpr2018', 'generative-models', 'image-to-image-translation', 'pytorch', 'stargan']",2017-11-27T01:43:01Z
lquirosd__P2PaLA,master,44,187,"['computer-vision', 'deep-neural-networks', 'document-layout-analysis', 'gan', 'generative-adversarial-network', 'handwritten-text-recognition', 'image-segmentation', 'page-xml', 'pix2pix', 'pytorch']",2017-11-28T13:58:06Z
aitorzip__PyTorch-CycleGAN,master,279,1123,"['artificial-intelligence', 'computer-graphics', 'computer-vision', 'cyclegan', 'deep-learning', 'generative-adversarial-network', 'image-generation', 'image-processing', 'pytorch']",2017-12-12T00:01:28Z
martno__cyclegan-pytorch,master,0,0,"['cyclegan', 'deep-learning', 'gan', 'generative-adversarial-network', 'image-generation', 'pytorch']",2017-12-16T13:50:30Z
hollobit__All-About-the-GAN,master,156,654,"['adversarial-nets', 'adversarial-networks', 'arxiv', 'cgan', 'classification', 'ct-denoising', 'deep-learning', 'detection', 'gan', 'generative-adversarial-network', 'image-synthesis', 'medical-image-synthesis', 'medical-imaging', 'neural-network', 'paper', 'pytorch', 'reconstruction', 'segmentation', 'tensorflow', 'unsupervised-learning']",2017-12-28T05:54:01Z
chenyangh__DialogueGenerationWithEmotion,master,19,63,"['emotion-detection', 'generative-adversarial-network', 'pytorch', 'seq2seq']",2018-01-06T13:46:30Z
mseitzer__srgan,master,13,42,"['computer-vision', 'deep-learning', 'gan', 'generative-adversarial-network', 'pytorch', 'super-resolution']",2018-01-02T16:51:23Z
sumehta__neural-question-generation,master,2,10,[],2018-01-12T21:41:16Z
JeffreyJosanne__Adversarial-Ranking-for-Language-Generation,master,5,9,"['adversarial-machine-learning', 'deep-learning', 'gan', 'generative-adversarial-network', 'language', 'neural-network', 'python3', 'pytorch']",2018-01-07T23:53:21Z
atiyo__wasserstein_gan,master,0,0,"['deep-learning', 'generative-adversarial-network', 'machine-learning', 'pytorch', 'unsupervised-learning']",2017-12-29T21:55:45Z
faizaan09__caption-to-image-generation,master,0,0,[],2018-01-07T22:15:54Z
sarathknv__adversarial-examples-pytorch,master,76,373,"['adversarial-attacks', 'adversarial-defence', 'adversarial-examples', 'adversarial-images', 'adversarial-learning', 'adversarial-networks', 'adversarial-perturbations', 'deep-learning', 'deep-neural-networks', 'fgsm', 'generative-adversarial-networks', 'opencv', 'perturbations', 'python3', 'pytorch', 'random-perturbations', 'semantic-adversarial-examples', 'visualization']",2018-01-27T13:20:31Z
tneumann__minimal_glo,master,14,120,"['deep-learning', 'generative-models']",2018-01-18T09:25:49Z
fei-aiart__ca-gan,master,25,90,"['face-parsing', 'face-sketch-synthesis', 'face-synthesis', 'gan', 'generative-adversarial-network', 'image-to-image-translation', 'pytorch']",2018-01-23T15:35:10Z
jay-z007__Text-to-Image-Synthesis,master,5,10,"['computer-vision', 'dcgan', 'image-generation', 'pytorch']",2018-01-18T05:00:52Z
deblinaml__Computer-Vision,master,2,1,"['computer-vision', 'detection', 'gan', 'generative-adversarial-network', 'opencv-python', 'pytorch', 'single-shot-multibox-detector', 'ssd', 'yolo9000']",2018-01-26T06:15:10Z
soapisnotfat__GANs,master,0,1,"['be-gan', 'dc-gan', 'generative-adversarial-network', 'pytorch']",2018-01-14T04:08:05Z
tianjiu233__generative-models,master,0,0,[],2018-01-23T15:25:21Z
salmanmaq__GANS_for_whatever,master,0,0,"['dcgan', 'generative-adversarial-network', 'pytorch']",2018-01-16T18:35:54Z
soapisnotfat__pix2pix,master,0,0,"['boundary-equlibrium-gan', 'computer-vision', 'cycle-gan', 'generative-adversarial-network', 'python', 'pytorch']",2018-01-14T03:39:22Z
narumiruna__mnist-gans,master,0,0,"['gan', 'generative-adversarial-network', 'lsgan', 'mnist', 'pytorch', 'wasserstein-gan', 'wgan', 'wgan-gp']",2018-01-19T16:48:00Z
mseitzer__pytorch-fid,master,481,2902,"['deep-learning', 'fid', 'fid-score', 'frechet-distance', 'gan', 'generative-adversarial-network', 'inception-score', 'pytorch']",2018-02-10T12:33:06Z
eosay__poke-GAN,master,0,1,"['generative-adversarial-network', 'machine-learning', 'pokemon', 'pytorch', 'pytorch-gan']",2018-02-03T18:52:38Z
Grzego__game-level-gan,master,0,1,"['gan', 'gans', 'generative-adversarial-network', 'pytorch', 'reinforcement-learning', 'rl']",2018-02-05T17:02:31Z
deeptechlabs__pggan-pytorch,master,0,0,"['deep-neural-networks', 'generative-adversarial-network']",2018-01-31T15:13:54Z
soapisnotfat__CycleGAN,master,0,0,"['cyclegan', 'generative-adversarial-network', 'pytorch']",2018-02-02T04:35:02Z
narumiruna__eat-hands,master,0,0,"['dcgan', 'gan', 'generative-adversarial-network', 'pytorch', 'wgan']",2018-02-10T08:21:03Z
wasidennis__AdaptSegNet,master,202,832,"['adversarial-learning', 'computer-vision', 'deep-learning', 'domain-adaptation', 'generative-adversarial-network', 'pytorch', 'semantic-segmentation']",2018-02-21T19:44:10Z
navneet-nmk__pytorch-rl,master,57,438,"['ddpg', 'deep-learning', 'deep-reinforcement-learning', 'dqn', 'experience-replay', 'gan', 'generative-adversarial-network', 'gym', 'mujoco', 'mujoco-py', 'openai', 'openai-gym', 'policy-gradient', 'pytorch', 'reinforcement-learning', 'rl-algorithms', 'robotics', 'vae', 'vae-gan', 'variational-autoencoder']",2018-02-28T18:10:10Z
eveningglow__BicycleGAN-pytorch,master,15,98,"['bicyclegan', 'computer-vision', 'cyclegan', 'deep-learning', 'gan', 'generative-adversarial-network', 'image-translation', 'pytorch']",2018-02-26T15:19:39Z
jeromerony__Progressive_Growing_of_GANs-PyTorch,master,11,54,"['gan', 'generative-adversarial-network', 'mnist', 'pggan', 'progressive-gan', 'progressive-growing', 'progressive-growing-gan', 'pytorch']",2018-02-27T23:04:18Z
BCV-Uniandes__SMIT,master,11,37,"['computer-vision', 'gans', 'generative-adversarial-network', 'iccv2019', 'image-to-image-translation', 'image-translation', 'pytorch', 'smit']",2018-02-21T19:44:00Z
sarthak268__Deep_Neural_Networks,master,1,5,"['autoencoder', 'autoencoder-mnist', 'cifar10', 'datasets', 'deep-learning', 'gans', 'generative-adversarial-network', 'generative-model', 'lenet', 'machine-learning', 'machine-learning-algorithms', 'mnsit', 'neural-network', 'vae', 'variational-autoencoder']",2018-02-27T21:13:29Z
eveningglow__StarGAN-pytorch,master,2,2,"['deep-learning', 'gan', 'generative-adversarial-network', 'image-translation', 'stargan']",2018-02-26T15:41:52Z
randomMatrix77__Generative-Adversarial-Network,master,0,0,"['generative-adversarial-network', 'keras', 'pytorch', 'variational-autoencoder']",2018-02-20T14:49:07Z
timbmg__Sentence-VAE,master,154,579,"['deep-learning', 'generative-model', 'neural-network', 'nlp', 'ptb', 'pytorch', 'vae']",2018-03-05T10:06:01Z
mhw32__multimodal-vae-public,master,37,141,"['generative-models', 'machine-learning', 'multimodal-learning', 'variational-autoencoder']",2018-03-05T17:33:06Z
Zhenye-Na__pokemon-gan,master,4,18,"['dcgan', 'generative-adversarial-network', 'pokemon-gan', 'pytorch', 'tensorflow']",2018-03-17T08:16:45Z
Barbany__Multi-speaker-Neural-Vocoder,master,2,14,"['deep-learning', 'gated-recurrent-units', 'generative-adversarial-network', 'pytorch', 'samplernn', 'text-to-speech']",2018-03-06T15:55:00Z
benchang0424__DLCV2018SPRING,master,1,6,"['action-recognition', 'computer-vision', 'deep-learning', 'feature-disentanglement', 'feature-extraction', 'image-generation', 'image-segmentation', 'pytorch', 'semantic-segmentation', 'seq2seq']",2018-03-15T03:37:13Z
soapisnotfat__BicycleGAN,master,2,4,"['bicyclegan', 'convolutional-neural-networks', 'deep-learning', 'generative-adversarial-network', 'python3', 'pytorch']",2018-03-05T04:38:50Z
stanleynguyen__corolization,master,1,2,"['artificial-intelligence', 'computer-vision', 'generative-adversarial-network', 'pytorch']",2018-03-11T07:35:15Z
rudrasohan__Function-Forger,master,0,2,"['cuda', 'deep-learning', 'generative-adversarial-network', 'pytorch', 'pytorch-gan', 'pytorch-tutorials']",2018-03-14T20:07:41Z
hesampakdaman__ppgn-disc,master,0,1,"['computervision', 'deeplearning', 'generative-adversarial-network', 'generative-models', 'machinelearning', 'pytorch']",2018-03-03T09:56:12Z
zekunhao1995__ControllableVideoGen,master,5,45,"['controllable', 'cvpr2018', 'generation', 'pytorch', 'sparse-trajectories', 'trajectories', 'video']",2018-03-29T21:15:14Z
joeylitalien__celeba-gan-pytorch,master,5,37,"['celeba-dataset', 'deep-learning', 'generative-adversarial-network', 'generative-model']",2018-03-31T20:44:49Z
1Konny__BEGAN-pytorch,master,4,12,"['began', 'celeba', 'cifar10', 'gan', 'generative-adversarial-network', 'pytorch']",2018-03-25T08:58:31Z
naba89__RNN-Handwriting-Generation-Pytorch,master,2,10,"['handwriting-generation', 'lstm', 'pytorch', 'pytorch-implmention', 'rnn', 'sequence-generation']",2018-03-25T04:56:59Z
1Konny__EBGAN-pytorch,master,3,5,"['celeba', 'ebgan', 'gan', 'generative-model', 'pytorch']",2018-03-29T14:21:25Z
linjianz__pytorch_neural_dialogue_generation,master,0,4,[],2018-03-29T12:46:18Z
njuzrs__task2-pytorch_neural_dialogue_generation,master,1,3,[],2018-03-30T14:38:51Z
burklight__GANcedonia,master,1,2,"['computer-graphics', 'computer-vision', 'cyclegan', 'deep-learning', 'gan', 'gans', 'generative-adversarial-network', 'image-generation', 'neural-networks', 'object-manipulation', 'pytorch']",2018-03-23T12:54:28Z
9310gaurav__ali-pytorch,master,11,78,"['adversarial-learning', 'cifar10', 'deep-learning', 'generative-adversarial-network', 'semi-supervised-learning', 'svhn']",2018-04-09T10:06:27Z
XinnuoXu__mmi_anti_pytorch,master,9,33,"['chatbot', 'dialogue', 'dialogue-generation', 'diversity', 'language-model', 'mmi', 'pytorch']",2018-04-09T10:34:42Z
naoto0804__pytorch-domain-adaptation,master,7,24,"['cnn', 'domain-adaptation', 'generative-adversarial-network', 'pytorch']",2018-04-16T04:43:28Z
DongjunLee__gan-pytorch,master,2,6,"['deep-learning', 'estimator', 'experiments', 'gan', 'generative-adversarial-network', 'generative-model', 'hb-experiment', 'pytorch']",2018-04-12T16:41:14Z
yschroecker__generative_models_pytorch,master,0,0,[],2018-04-10T20:26:17Z
OakLake__GANs,master,0,0,"['generative-adversarial-networks', 'pytorch']",2018-04-08T13:35:37Z
ritheshkumar95__pytorch-vqvae,master,126,749,"['deep-learning', 'generative-models', 'pytorch', 'vae', 'vq-vae']",2018-04-19T21:29:03Z
mattragoza__LiGAN,master,44,203,"['deep-learning', 'drug-discovery', 'generative-models', 'molgrid', 'protein-structure', 'pytorch']",2018-04-20T15:20:01Z
malzantot__Pytorch-conditional-GANs,master,22,99,"['cgan', 'cgans', 'dcgan', 'generative-adversarial-network', 'pytorch', 'pytorch-tutorial']",2018-04-20T23:13:18Z
aimagelab__speaksee,master,8,28,"['caption-generation', 'pytorch', 'visual-semantic']",2018-05-04T16:31:43Z
Wentong-DST__attn-gan,master,12,26,"['attention-mechanism', 'deep-learning', 'generative-adversarial-network', 'image-captioning', 'image-generation', 'pytorch']",2018-05-03T10:42:02Z
hagerrady13__DCGAN-PyTorch,master,5,12,"['deep-learning', 'generative-adversarial-network', 'pytorch']",2018-04-28T23:03:32Z
narumiruna__pytorch-wgangp,master,1,4,"['generative-adversarial-network', 'mnist', 'pytorch', 'wgan-gp']",2018-05-02T15:30:31Z
limingwu8__DCGAN,master,0,4,"['anime', 'autoencoder', 'dcgan', 'gan', 'image-generation', 'mnist', 'pytorch']",2018-05-02T20:46:41Z
lidq92__PyTorch-GAN,master,0,3,"['gan', 'generative-adversarial-network']",2018-04-30T14:54:21Z
sriharsha-sammeta__Sentence-to-Pixels-Representation-Using-GAN,master,0,3,"['cocodataset', 'dcgan', 'deep-learning', 'gan', 'generative-adversarial-network', 'infogan', 'infogan-pytorch', 'pytorch', 'wgan']",2018-04-27T18:43:01Z
XinnuoXu__CVAE_Dial_CGate,master,2,3,"['chatbot', 'deep-learning', 'deep-neural-networks', 'dialogue', 'dialogue-generation', 'emnlp', 'emnlp2018', 'nlp', 'nlp-machine-learning', 'pytorch', 'seq2seq', 'sequence-to-sequence', 'variational-autoencoder']",2018-05-04T17:21:18Z
swapnilbembde__alpha-numeric_data_generation_using_GAN,master,1,1,"['emnist', 'gan', 'general-adversarial-network', 'mnist-handwriting-recognition', 'pytorch']",2018-04-20T18:04:00Z
podgorskiy__GPND,master,31,130,"['aae', 'adversarial-autoencoders', 'adversarial-learning', 'anomaly-detection', 'autoencoder', 'deep-learning', 'deep-neural-networks', 'deep-novelty-detection', 'gan', 'generative-adversarial-network', 'machine-learning', 'mnist', 'nips-2018', 'novelty-detection', 'novelty-detector', 'pdf', 'probability', 'pytorch']",2018-05-12T20:39:10Z
saurabhsharma1993__pose-transfer,master,15,80,"['computervision', 'generative-adversarial-network', 'humanpose']",2018-05-19T17:19:43Z
EagleW__Writing-editing-Network,master,21,72,"['attention-mechanism', 'datasets', 'deep-learning', 'end-to-end-learning', 'generation', 'nlp', 'paper-generation', 'pytorch', 'text-generation']",2018-05-07T00:15:00Z
fionn-mac__A-Persona-Based-Neural-Conversation-Model,master,14,22,"['acl', 'attention-mechanism', 'dialogue-generation', 'natural-language-processing', 'pytorch', 'seq2seq', 'sequence-to-sequence']",2018-05-05T05:28:54Z
XinnuoXu__CVAE_Dial,master,0,16,"['chatbot', 'deep-learning', 'deep-neural-networks', 'dialogue', 'dialogue-generation', 'emnlp', 'emnlp2018', 'nlp', 'nlp-machine-learning', 'pytorch', 'seq2seq', 'sequence-to-sequence', 'variational-autoencoder']",2018-05-07T11:53:47Z
chanshing__sobolev_gan,master,2,8,"['generative-adversarial-networks', 'sobolev-gan', 'wgan-gp']",2018-05-08T11:33:43Z
marco-roberti__pytorch-e2e-dataset,master,0,7,"['dataset', 'dataset-interface', 'deep-learning', 'deep-neural-networks', 'dnn', 'e2e-dataset', 'natural-language-generation', 'natural-language-processing', 'nlg', 'nlg-dataset', 'nlp', 'nlp-datasets', 'python', 'python-3', 'python-library', 'python3', 'pytorch', 'pytorch-dataset', 'pytorch-nlp', 'pytorch-rnn']",2018-05-08T16:56:36Z
dvidbruhm__pytorch-image-generation,master,1,2,"['autoencoder', 'deep-learning', 'gan', 'learning', 'machine', 'pytorch']",2018-05-11T21:40:53Z
patricebechard__dcgan,master,0,0,"['celeba-dataset', 'dcgan', 'deep-learning', 'gan', 'generative-adversarial-network', 'pytorch']",2018-05-17T15:06:40Z
eifuentes__swae-pytorch,master,13,95,"['autoencoder', 'deep-neural-networks', 'generative-model', 'optimal-transport', 'pytorch']",2018-05-26T18:57:31Z
atiyo__unbounded_gan,master,2,30,"['deep-learning', 'generative-adversarial-network', 'machine-learning', 'pytorch', 'unsupervised-learning']",2018-05-21T20:57:28Z
mabirck__Video_GAN_Sonic,master,0,1,"['dcgan', 'deep-learning', 'gan', 'generative-adversarial-network', 'generator', 'neural-networks', 'pytorch', 'sonic', 'video-generation']",2018-05-30T01:46:23Z
sagiebenaim__OneShotTranslation,master,18,139,"['computer-vision', 'gan', 'image-generation', 'image-manipulation', 'oneshot', 'pytorch', 'unsupervised-learning']",2018-06-15T15:20:06Z
SSS135__aiqn-vae,master,1,12,"['aiqn', 'autoencoder', 'deep-learning', 'generative-model', 'mnist', 'neural-network', 'python', 'python3', 'pytorch', 'quantile-networks', 'quantile-regression', 'vae', 'variational-autoencoder']",2018-06-21T16:07:15Z
ZmeiGorynych__generative_playground,master,6,10,[],2018-06-13T11:03:36Z
