projectID,repo_name,imports,pretrainedModels
7272,wenzhilong__test_PyTorch,[zipfile;torchtext;torchkeras;d2lzh_pytorch;os;sklearn;torch;numpy;sys;torchvision;tarfile;IPython;tqdm;pandas;random;PIL;collections;utils;matplotlib;time;math],[]
7323,mihir135__yolov5,[glob;numpy;sys;torchvision;apex;pretrainedmodels;random;pathlib;utils;json;copy;onnx;cv2;yaml;models;scipy;thop;os;test;torch;subprocess;argparse;tqdm;PIL;matplotlib;shutil;threading;math;time;pycocotools;skimage],[]
8106,akiragy__recsys_pipeline,[sklearn;tritonclient;numpy;requests;sys;operator;redis;pickle;offline;datetime;elasticsearch;json;copy;urllib3;os;data_exchange_center;torch;argparse;feast;pandas;tqdm;logging;online;time;flask],[]
9298,HeyyyyyyG__CFIE,[gensim;data;numpy;sys;parsing;itertools;pickle;random;datetime;neuronlp2;collections;utils;json;model;os;torch;gzip;subprocess;overrides;__future__;argparse;enum;tqdm;re;logging;shutil;time;math],[]
12142,htdt__hyp_metric,[helpers;pytorch_metric_learning;csv;sklearn;multiprocessing;numpy;torchvision;losses;sys;apex;random;collections;utils;wandb;json;model;copy;hyptorch;net;scipy;tap;timm;os;torch;__future__;argparse;sampler;tqdm;pandas;cars;cub;PIL;SOP;functools;typing_extensions;logging;proxy_anchor;math;time;dataset;base],[facebookresearch/dino:main]
12345,nassir90__pytorch_state_manager,[re;os;log;unified;json;distributed;torch;state;weights],[ultralytics/yolov5;yolov5s]
13587,christiaanjacobs__globalphone_awe_pytorch,[triplets;glob;samediff;numpy;sys;pickle;features;random;datetime;timeit;collections;utils;data_io;scipy;models;closs;os;hashlib;codecs;torch;subprocess;samplers;argparse;tqdm;link_mfcc;re;paths;utility_functions;librosa;shutil;dataset],[]
13923,chinmaynehate__DFSpot-Deepfake-Recognition,[architectures;blazeface;pprint;face_extract;glob;sklearn;numpy;sys;torchvision;itertools;pathlib;gdown;read_video;collections;utils;distutils;densenet_pytorch;json;cv2;scipy;zipfile;timm;os;efficientnet_pytorch;torch;fornet;__future__;argparse;tqdm;albumentations;pandas;PIL;matplotlib;typing;xception;statistics;inceptionresnetv2],[efficientnet-b4;efficientnet-b7]
13967,asahi417__lm-question-generation,[grid_searcher;data;nltk;sentence_split;glob;setuptools;multiprocessing;requests;datasets;itertools;pickle;random;gdown;trainer;nlgeval;json;lm_t5;traceback;evaluator;pydantic;t5qg;transformers;zipfile;os;langdetect;torch;gzip;exceptions;tarfile;argparse;tqdm;fastapi;re;typing;logging;shutil],[t5-small]
13992,MoleculeTransformers__moleculenet-bert-ssl,[train_bert;deepchem;data;dataloader;simcse;sklearn;numpy;data_loader;sys;itertools;rdkit;random;utils;model;enumeration;train;keras_preprocessing;transformers;os;args_parser;torch;__future__;argparse;tqdm;pandas;eval;logging;shutil;threading;math;config;mixmatch_loss;dataset],[./model;shahrukhx01/smole-bert]
14071,Liu-Yicheng__seq2seq_attention-on-picture,[random;os;data;collections;keras;torch;model;math;numpy;config;argparse],[inception_v3]
17363,ashrafgt__esm-2-onnx,[onnxruntime;torch;argparse;esm],[]
17731,killf__EAGRNet_pytorch,[criterion;transforms;datasets;numpy;torchvision;losses;timer;random;datetime;edge;ImageFolder;schedulers;backbones;utils;colormap;optimizers;cv2;solver;models;os;EAGR;torch;counter;linear_lr;resnet;PIL;util;typing;metrics;time;config],[]
17422,Chuxwa__Global-Wheat-Detection-using-Yolov5,[onnxsim;tflite_runtime;csv;multiprocessing;torchvision;IPython;datetime;pathlib;collections;utils;urllib;signal;cv2;coremltools;yaml;train;val;models;zipfile;hashlib;io;contextlib;google;subprocess;psutil;pafy;re;matplotlib;typing;logging;math;flask;tensorrt;pprint;glob;numpy;requests;sys;itertools;platform;random;onnxruntime;tensorflow;seaborn;pkg_resources;wandb;json;copy;onnx;scipy;thop;os;warnings;torch;argparse;tqdm;pandas;albumentations;PIL;wandb_utils;tensorflowjs;threading;shutil;time;socket;pycocotools],[ultralytics/yolov5;yolov5s]
20626,dimitrymindlin__DenseNetMuraPytorch,[configs;os;torchnet;torch;torchvision;pandas;tqdm;pipeline;datetime;utils;matplotlib;densenet;time;copy;train],[densenet121]
20925,jfan1256__dlip-v1,[class_model_help;class_model_blip_help;glob;sklearn;setuptools;numpy;datasets;torchvision;random;datetime;pathlib;class_train_help;collections;urllib;utils;json;class_model;cv2;azure;models;transformers;timm;dataclasses;os;io;torch;ray;pdb;pandas;builtins;PIL;re;functools;fairscale;matplotlib;typing;class_data;math;time;class_transform],[bert-base-cased;Salesforce/blip-image-captioning-large;prajjwal1/bert-small;prajjwal1/bert-mini;google/vit-base-patch16-224;prajjwal1/bert-medium;Salesforce/blip-itm-base-flickr;facebook/deit-small-patch16-224;Salesforce/blip-image-captioning-base;bert-large-uncased;Salesforce/blip-itm-large-flickr;prajjwal1/bert-tiny;google/vit-large-patch16-224;facebook/deit-tiny-patch16-224;bert-base-uncased]
21186,mttk__rnn-classifier,[torchtext;os;torch;model;math;time;numpy;datasets;sys;argparse],[]
23364,megvii-research__protoclip,[open_clip;multiprocessing;torchvision;analyze_features;ftfy;loss;datetime;pathlib;collections;urllib;utils;html;model;hashlib;faiss;io;contextlib;distributed;horovod;openTSNE;timm_model;openai;regex;re;functools;matplotlib;typing;logging;math;sklearn;training;textwrap;requests;numpy;sys;pickle;random;transform;wandb;coco_retrieval;json;copy;pytorch_transformers;factory;dataclasses;timm;os;zero_shot;warnings;torch;gzip;argparse;tokenizer;pandas;tqdm;pretrained;PIL;shutil;time;socket;_pickle;linear_eval],[pytorch/fairseq;roberta.large]
23854,SR7MIN__CareerMapper,[assess_jobs;gensim;bs4;jieba;load_text_data;csv;sklearn;requests;numpy;sys;random;JobWindow;PyQt5;MainWindow;jsonpath;json;subassembly;get_random;urllib3;pypinyin;model_helper;TextCnn;MajorWindow;os;torch;load_data;pandas;tqdm;load_train_data;threading;time;assess_enterprise],[]
24005,xukai92__pytorch-rbm,[torch;__future__;rbm],[]
24865,wmj9346464543__pytorch_bert_intent_classification_and_slot_filling-main,[transformers;os;sklearn;torch;numpy;random;preprocess;re;seqeval;json;model;config;dataset],[args;../../model_hub/chinese-bert-wwm-ext/;config]
25263,tayebiarasteh__lane-detection,[numpy;torchvision;sys;colors;IPython;pickle;skvideo;Training;specs;random;datetime;pipelines;utils;layers;json;copy;fnmatch;simulator;os;serde;h5py;warnings;torch;filters;enum;PIL;re;functools;matplotlib;tensorboardX;shutil;config;skimage],[]
25825,lonePatient__NovoGrad-pytorch,[nn;os;trainingmonitor;torch;numpy;torchvision;tools;itertools;argparse;random;pathlib;optimizer;progressbar;matplotlib;json;time;math],[]
25843,AzarUmudov__Transformer,[embeddings;tokenizers;torchmetrics;blocks;warnings;transformer;torch;datasets;sys;modules;tqdm;pathlib;typing;processings;math;config],[]
26451,pangzss__pytorch-CTVSUM,[lit_models;glob;vsum_tools;numpy;datasets;sys;torchvision;random;datetime;seaborn;utils;wandb;json;custom_callbacks;scipy;os;h5py;io;pytorch_lightning;torch;ortools;argparse;modules;omegaconf;PIL;re;matplotlib;knapsack;attention;math;einops],[]
26720,kyoungok02__image_classification,[os;torch;numpy;torchvision;networks;argparse;lzma;PIL;ops;matplotlib;tensorboardX;time;copy;torchsummary],[]
26814,wk989898__transformer-implement,[tqdm;tokenizers;random;os;functools;transformer;torch;datasets;math;einops;argparse],[]
28541,laihuiyuan__knowledge-driven-dialogue,[os;nltk;codecs;torch;source;numpy;sys;tools;argparse;network;tqdm;datetime;re;collections;_thread;tensorboardX;json;logging;shutil;socket;math;time],[position_embedding]
29254,marcojira__fld,[scipy;os;warnings;sklearn;setuptools;torch;numpy;torchvision;__future__;tqdm;pytorch_fid;PIL;seaborn;pathlib;matplotlib;json;math;clip;fld],[facebookresearch/dinov2;dinov2_vitb14]
29379,e-lab__pytorch-demos,[helpers;data;string;unidecode;glob;numpy;sys;torchvision;imgaug;random;pathlib;utils;json;model;generate;cv2;scipy;models;os;profile;torch;argparse;tqdm;PIL;matplotlib;attention;shutil;time;math],[resnet18]
29699,ChenYL2021__pytorch,[common_tools;string;glob;numpy;torchvision;sys;tools;platform;random;enviroments;collections;my_dataset;segmentation;model;dcgan;os;io;torch;PIL;re;imageio;matplotlib;unicodedata;tensorboardX;shutil;time;math;lesson2;torchsummary],[deeplabv3_resnet101]
30090,ssswill__diffusion-pl-study,[data_interface;data;numpy;torchvision;pickle;random;importlib;utils;json;model;copy;traceback;cv2;scipy;abc;os;pytorch_lightning;guided_diffusion_modules;torch;pathlib2;argparse;model_interface;tqdm;PIL;util;functools;sr3_modules;inspect;math],[]
31115,i-Jayus__RecSystem-Pytorch,[random;sklearn;torch;numpy;copy;heapq;tools;modules],[]
31531,CrispenGari__machine-translator,[resolvers;os;ariadne;torch;random;spacy;identification;utils;translation;flask_cors;json;seq2seq;flask],[]
32002,Li-Ming-Fan__bert_torch,[bert_configuration;csv;sklearn;numpy;random;tensorflow;training_simple_dataset;collections;metrics_np;json;copy;models;os;torch;__future__;argparse;pandas;tqdm;metrics_miulab;re;unicodedata;typing;logging;time;math;prelm;activation],[]
32821,Jianwei-Lv__chinese-event-extraction-pytorch,[const;os;torch;numpy;argparse;tqdm;pytorch_pretrained_bert;datetime;importlib;train_eval;utils;CRF;json;time],[]
33631,dinaber__Fashion-MNIST-classifier-for-Pytorch-built-in-Tensorboard,[random;torch;time;numpy;torchvision],[]
33694,DipeshAggarwal__unet-pytorch,[tqdm;core;os;matplotlib;sklearn;imutils;torch;numpy;time;torchvision;config;cv2],[]
33845,KentonMurray__ProxGradPytorch,[proximal_gradient;distutils;setuptools;torch],[]
34516,vadersun__PyTorchLLM,[transformers;datetime;pathlib;json;torch;time;numpy;itertools;argparse],[Llama-2-7b-hf;chatglm2-6b-hf]
34595,joeljosephjin__metadrop-pytorch,[zipfile;os;data;data_haebom;torch;numpy;requests;torchvision;argparse;tqdm;random;PIL;collections;wandb;model;copy;time;evaluate],[]
34804,Nicolivain__ViTGAN,[torchmetrics;os;Tools;torch;numpy;torchvision;Components;datetime;matplotlib;json;logging;ViTGAN;Core],[]
35695,Beyond-AA__CGAN,[Datasets;os;Modules;torch;numpy;torchvision;cv2],[]
35762,L-F-F-F__yolo-v3-pytorch,[pandas;random;util;os;torch;darknet;numpy;time;__future__;cv2;argparse;pickle],[]
36225,Quoding__torch-graphgen,[torch_graphgen;graphgen;pprint;dataclasses;os;utils;typing;torch;torch_geometric;operator;graph],[inception_v3]
37858,jiaowoguanren0615__Clip-Pytorch,[threeaugment;sklearn;numpy;datasets;torchvision;losses;sys;itertools;apex;random;datetime;pathlib;seaborn;resnet_clip;optimizer;collections;engine;utils;estimate_model;split_data;json;mydataset;cv2;models;timm;os;io;torch;samplers;argparse;resnet_clip_load;pandas;tqdm;builtins;PIL;re;util;functools;matplotlib;typing;logging;vit_clip;time;math;clip],[]
38162,ayooshkathuria__PyTorch-YOLO-v2,[os;bbox;torch;darknet;numpy;__future__;argparse;pickle;pandas;random;PIL;preprocess;util;matplotlib;time;cv2],[]
39206,lipiji__rnn-pytorch,[os;data;torch;gzip;numpy;gru;sys;random;lstm;rnn;math;time;cPickle],[]
39736,netrome__Hello-VAE,[utils;torch;numpy;visdom;torchvision;networks],[]
40963,HayeonLee__MetaD2A,[pets;common_tools;dynamic_layers;functions;logger;torchvision;log_utils;ofa_resnets;collections;utils;model;config_utils;run_config;dynamic_op;cPickle;db_ofa;models;zipfile;io;pytorch_modules;flop_benchmark;base_provider;predictor_model;arch_encoder;bisect;matplotlib;logging;my_data_worker;math;flops_counter;cell_infers;set_encoder;metaloader;cell_searchs;glob;numpy;requests;datasets;tiny_network;pickle;importlib;tensorflow;procedures;cell_operations;InferMobileNetV2;initialization;ofa_proxyless;copy;architecture;scipy;thop;InferImagenetResNet;latency_table;InferTinyCellNet;InferCifarResNet_depth;torch;evaluation_utils;ofa;time_utils;my_distributed_sampler;resnets;PIL;accuracy_predictor;codebase;threading;InferCifarResNet_width;ctypes;configure_utils;imagenet_eval_helper;loader;distributed_run_manager;igraph;multiprocessing;acc_predictor;evolution_finder;pathlib;urllib;flops_table;pytorch_utils;starts;optimizers;solver;yaml;nas_bench_201;acc_dataset;imagenet;SharedUtils;my_modules;meter;my_dataloader;latency_lookup_table;horovod;proxyless_nets;parser;ofa_local;typing;progressive_shrinking;generator;mobilenet_v3;sys;itertools;gin;nasbench_utils;StringIO;random;run_manager;database;ofa_mbv3;json;predictor;evaluator;get_dataset_with_transform;six;timm;os;warnings;aircraft;my_random_resize_crop;genotypes;evolution;__future__;argparse;tarfile;pdb;generator_model;tqdm;torchprofile;imagenet_loader;cells;InferCifarResNet;eval_utils;my_data_loader;shutil;time],[]
42077,gitabcworld__MatchingNetworks,[experiments;logger;csv;glob;AttentionalClassify;unittest;datasets;numpy;Classifier;torchvision;BidirectionalLSTM;collections;cv2;DistanceNetwork;models;errno;zipfile;six;os;torch;__future__;argparse;tqdm;PIL;tensorboard_logger;shutil;math;option],[]
42863,sczhou__CodeFormer,[loss_util;data;logger;setuptools;multiprocessing;torchvision;losses;lmdb;dlib;lpips;face_utils;datetime;pathlib;collections;utils;mc;urllib;file_client;dist_util;cv2;retinaface;yolov5face;train;yaml;models;basicsr;subprocess;version;resnet;ops;functools;typing;upfirdn2d;logging;metrics;math;psnr_ssim;parsenet;glob;deform_conv;numpy;requests;sys;itertools;archs;random;importlib;gdown;distutils;fused_act;wandb;copy;misc;scipy;abc;os;matlab_cp2tform;warnings;img_util;torch;facelib;arch_util;argparse;tqdm;PIL;bisenet;threading;time;queue],[]
43604,filby89__spectre,[yacs;jiwer;fairseq;glob;sklearn;multiprocessing;numpy;datasets;sys;torchvision;pickle;kornia;random;datetime;phonemizer;ipdb;collections;utils;torchaudio;cv2;yaml;scipy;models;os;src;tempfile;torch;loguru;__future__;argparse;decalib;tqdm;pandas;external;imageio;pytorch3d;configparser;librosa;shutil;data_utils;time;math;lbs;config;skimage],[mobilenet_v2]
44898,loftiskg__Multichannel_Image_Pytorch_Dataset,[PIL;multichannel_dataset;os;pytest;torch;numpy],[]
45434,seanzhang-zhichen__PytorchBertBiLstmClassify,[pandas;transformers;sklearn;torch;numpy],[]
45539,AI-confused__BERT-for-pretrain,[csv;sklearn;multiprocessing;numpy;sys;itertools;random;collections;utils;json;gc;transformers;os;io;torch;__future__;argparse;pandas;tqdm;functools;unicodedata;typing;logging;time;math],[]
46091,wangzhesun__Object_Detection_with_YOLO_v3,[pandas;random;os;utils;torch;numpy;time;__future__;cv2;network;pickle],[]
46797,lindylin1817__pytorch2caffe2,[models;os;options;torch;shutil;sys],[]
48026,dkasuga__IM-NET-pytorch_tf,[os;h5py;numpy;modelAE;argparse;tqdm;random;tensorflow;utils;mcubes;tensorflow_addons;time;math;modelSVR],[]
49383,dmarnerides__boardom,[handler;patch_repr;criteria;datastore;logger;accuracy;torchvision;cfg_file_parser;path;collections;utils;action;conv;state;worker;csvplot;cv2;csv_logger;app;models;init;errno;portalocker;grow;io;module;contextlib;subprocess;version;init_filters;psnr;util;compose;functools;matplotlib;logging;math;device;subprocess_mixins;unet;msgpack;server;components;tone_map;imshow;pprint;rawpy;optim;concurrent;numpy;matlab_engine;pickle;importlib;copy;boardom;event;scipy;gitignore;self_attention;gram;image_sampler;tempfile;torch;ordered_set;cleanup_context;pandas;places;threading;checkpointer;guided_filter;config;pylatex;dataset;queue;session_helpers;data;stdout;autoconfig;setuptools;multiprocessing;uuid;lmdb;loaded;sgd;view;assets;layers;interp1d;data_mixin;signal;traceback;optimizers;tensor_ops;zmq;matlab;image;box_filter;loader_process_pool;meter;frozen_batchnorm;wrapt;list;imaging;resnet;learned_multiscale_guided_filter;core;external;ssim;apis;fft;once;colorspaces;inspect;cosine_loss;spectral_norm;lmdb_handler;multiloss;total_variation;boardom_logger;atexit;video;sys;pin_memory;directory;itertools;git;fftconv2d;common;plot;engine;json;on_decorator;middleware;misc;padding;types;os;pytest;warnings;perceptual_loss;argparse;socket_manager;model_hooks;tqdm;serialization;zlib;weakref;asyncio;hdr;aiohttp;resize;shutil;time;gaussian],[]
49681,pytholic__streamlit-image-classification,[torchmetrics;dataclasses;os;dataloader;pytorch_lightning;streamlit;glob;rich;torch;numpy;torchvision;sys;albumentations;datetime;PIL;pathlib;matplotlib;logging;model;simple_parsing;config;clearml;cv2],[]
50500,LTH14__rcg,[torch_fidelity;setuptools;multiprocessing;torchvision;operator;datetime;pathlib;pixel_generator;collections;cv2;engine_ldm;transformers;hashlib;engine_rdm;contextlib;engine_mage;enum;omegaconf;util;pretrained_enc;functools;typing;inspect;math;taming;blobfile;numpy;requests;sys;random;importlib;tensorflow;json;copy;scipy;timm;abc;os;warnings;pytorch_lightning;tempfile;torch;argparse;tqdm;albumentations;builtins;PIL;engine_adm;ldm;shutil;rdm;threading;time;socket;einops;queue;clip],[bert-base-uncased]
50870,shubhamthakur01__UNet_in_Pytorch,[torch],[]
52038,AppleHolic__SpeechInterface,[abc;os;setuptools;torch;requests;sys;argparse;parallel_wavegan;gdown;speech_interface;typing;librosa;copy],[descriptinc/melgan-neurips;load_melgan]
53108,cxqzjhz__pytorch-ssd-cam,[os;ssd;nets;glob;torch;numpy;torchvision;sys;__future__;itertools;argparse;operator;colorsys;random;PIL;utils;xml;matplotlib;json;shutil;time;math;cv2;torchsummary],[]
53278,csrhddlam__pytorch-checkpoint,[checkpoint;os;collections;warnings;fire;torch;original_densenet;math;time;cp_densenet;torchvision;cp_BatchNorm2d],[]
54938,soligits__NUAA-OOD,[zipfile;PIL;gdown;os;glob;torch;shutil;numpy],[]
55033,priyankjaini__discFlowMH,[metropolis_hastings;os;ess;sklearn;survae;torch;numpy;sys;torchvision;targets;gibbs;argparse;pickle;target;metropolis_hastings_discrete;prettytable;quantization_variational;matplotlib;model;copy;time;math;flow],[]
56393,ChangxinTian__RGCF,[tqdm;scipy;random;utils;trainer;recbole;spmm;logging;torch;numpy;time;rgcf],[]
56489,sanbizhulin__pytorch-LSTM-BeijingPM2,[pandas;datetime;matplotlib;sklearn;keras;numpy],[]
57158,amsuhane__Humour-Detection-in-English-Hindi-Code-Mixed-Text,[string;nltk;sklearn;numpy;flair;sys;operator;pickle;IPython;apex;datetime;pkg_resources;elmoformanylangs;keras;gc;scipy;os;keras_multi_head;torch;keras_self_attention;pandas;tqdm;pytorch_pretrained_bert;re;indic_transliteration;keras_tqdm;shutil;time],[bert-base-uncased]
58881,SoongE__DBADRP_Classifier,[monai;torchmetrics;data;main;numpy;torchvision;operator;fit;hydra;datetime;torchio;collections;utils;wandb;json;models;initial_setting;timm;os;warnings;torch;__future__;tqdm;pandas;re;functools;matplotlib;typing;logging;math;SimpleITK],[]
59043,learning-at-home__hivemind,[struct;whatsmyip;nltk;umsgpack;base64;setuptools;multiprocessing;torchvision;uuid;operator;datetime;pathlib;collections;urllib;utils;signal;uvloop;torch_optimizer;pydantic;transformers;hashlib;resource;io;codecs;contextlib;cryptography;google;subprocess;secrets;grpc;enum;shlex;psutil;bitsandbytes;re;functools;typing;inspect;logging;math;msgpack;metrics_utils;grpc_tools;multiaddr;test_utils;ipaddress;hivemind;glob;sklearn;concurrent;binascii;numpy;datasets;requests;sys;selectors;prefetch_generator;itertools;platform;pickle;recommonmark;random;importlib;pkg_resources;wandb;json;copy;gc;multihash;scipy;dataclasses;abc;os;pytest;warnings;tempfile;packaging;torch;__future__;heapq;tarfile;argparse;sortedcontainers;tqdm;weakref;base58;asyncio;threading;shutil;arguments;time;configargparse;socket;ctypes;queue;statistics],[coordinator_args;albert-large-v2;monitor_args;albert-large-v2]
59273,andfoy__pytorch-tutorial,[os;torch;numpy;torchvision;argparse;network;random;PIL;transform;collections;model;time;visdom;dataset],[]
59340,parasmehan123__show-attend-tell-PMLR-2015,[os;nltk;torch;numpy;torchvision;argparse;pickle;tqdm;PIL;pathlib;collections;utils;matplotlib;model;math;dataset;skimage],[]
59526,royinx__llm_triton,[tensorrt;string;tritonclient;glob;numpy;sys;itertools;datetime;timeit;collections;onnx_graphsurgeon;json;copy;onnx;line_profiler;T5;transformers;polygraphy;triton_python_backend_utils;abc;os;NNDF;optimum;torch;subprocess;toml;argparse;enum;functools;typing;inspect;logging;shutil;math;statistics],[google/flan-t5-small;metadata]
61138,pinery-sls__Pytorch_YOLOv7_Seg_Deepsort,[onnxsim;tflite_runtime;motmetrics;openvino;multiprocessing;torchvision;IPython;easydict;loss;datetime;yolov7;pathlib;collections;utils;urllib;segment;model;signal;export;cv2;yaml;coremltools;train;val;models;zipfile;augmentations;hashlib;io;contextlib;subprocess;sort;psutil;pafy;re;functools;matplotlib;typing;inspect;logging;math;metrics;flask;clearml;tensorrt;classify;deep;pprint;glob;numpy;requests;sys;deep_sort_pytorch;itertools;platform;random;onnxruntime;general;tensorflow;seaborn;ipdb;pkg_resources;dataloaders;wandb;json;copy;track;onnx;scipy;thop;os;warnings;deep_sort;torch;__future__;argparse;plots;tqdm;pandas;albumentations;PIL;wandb_utils;tensorflowjs;shutil;threading;time;socket;torch_utils;pycocotools],[ultralytics/yolov5]
62410,liu-hz18__ChineseSentimentAnalysis,[run_net;jieba;modeling;rcnn;sklearn;numpy;sys;tokenization;pickle;random;tensorflow;collections;optimization;similarity;json;copy;vectorize;scipy;cnn;ChineseSentiment;torchviz;six;os;codecs;torch;bert;__future__;graph;load_data;mlp;pandas;termcolor;cnn_ori;rnn;re;FocalLoss;unicodedata;logging;bert_vec;threading;time;math;extract_feature;queue],[]
63005,vtuber-plan__iSTFTNet,[torchmetrics;mel_processing;glob;numpy;sys;losses;itertools;commons;operator;random;utils;json;model;torchaudio;scipy;discriminators;os;pytorch_lightning;torch;argparse;discriminator;tqdm;pipeline;soundfile;functools;matplotlib;typing;librosa;generators;logging;math;iSTFTNet],[vtuber-plan/hifi-gan:v0.3.1;hifigan_48k]
63627,supercaoO__Color-Loss,[scipy;torch;numpy],[]
63744,hazdzz__SGC,[random;scipy;os;nni;torch;model;time;numpy;argparse;script],[]
63893,TimDettmers__bitsandbytes,[adagrad;setuptools;main;uuid;operator;sgd;datetime;pathlib;collections;urllib;utils;transformers;github;adam;errno;triton;contextlib;lion_pytorch;subprocess;cuda_setup;modules;lion;bitsandbytes;shlex;env_vars;autograd;functools;paths;matplotlib;typing;math;triton_based_modules;nn;lars;optim;glob;numpy;sys;itertools;adamw;random;importlib;optimizer;json;copy;cextension;scipy;typer;dataclasses;os;pytest;warnings;tempfile;torch;pandas;rmsprop;lamb;shutil;time;einops;_functions;ctypes],[decapoda-research/llama-7b-hf]
64240,rsd16__my-pytorch-tutorial,[os;sklearn;torch;numpy;torchvision;tqdm;pandas;spacy;PIL;matplotlib;time;copy;math;skimage],[]
64615,stardust-88__Variational_Autoencoders,[random;os;utils;matplotlib;torch;model;numpy;torchvision],[]
65639,hanjaewoo98__SimpleAyameModel,[tqdm;PIL;gradio;torch;torchvision;argparse],[resnet18]
65774,hoya9802__DenseNet_Pytorch,[zipfile;re;os;function;matplotlib;torch;numpy;time;cv2;network],[]
66948,pacocp__classification-cosmic-rays-pytorch,[tqdm;NN;matplotlib;sklearn;torchnet;read_data;torch;numpy;time;dataset;argparse;train],[]
